"COLLEX","CORP.FREQ","OBS","EXP","ASSOC","COLL.STR.LOGL","SIGNIF"
"cucinare",380353,2271,1984.1,"attr",39.85436,"*****"
"piantare",249868,1525,1303.4,"attr",35.90528,"*****"
"innalzare",157261,997,820.3,"attr",35.77882,"*****"
"aggredire",139206,892,726.2,"attr",35.48622,"*****"
"sollevare",471440,2755,2459.2,"attr",34.42556,"*****"
"annoverare",136652,872,712.8,"attr",33.34618,"*****"
"infilare",222081,1358,1158.5,"attr",32.73497,"*****"
"distinguere",873036,4941,4554.1,"attr",32.16531,"*****"
"scusare",644360,3688,3361.2,"attr",30.96293,"*****"
"pianificare",235418,1426,1228,"attr",30.49675,"*****"
"ripulire",110790,715,577.9,"attr",30.38214,"*****"
"camminare",604672,3463,3154.2,"attr",29.45867,"*****"
"distrarre",134292,848,700.5,"attr",29.23938,"*****"
"risvegliare",158919,986,829,"attr",28.18114,"*****"
"ristrutturare",344488,2026,1797,"attr",28.17918,"*****"
"invecchiare",122728,775,640.2,"attr",26.72984,"*****"
"toccare",1166838,6489,6086.7,"attr",26.18175,"*****"
"ordinare",622262,3540,3246,"attr",26.01499,"*****"
"scendere",1336156,7395,6969.9,"attr",25.56935,"*****"
"assistere",925466,5171,4827.6,"attr",24.00936,"*****"
"riparare",244801,1455,1277,"attr",23.87255,"*****"
"immergere",549940,3117,2868.7,"attr",21.01608,"*****"
"conferire",516094,2926,2692.1,"attr",19.86202,"*****"
"impostare",486748,2763,2539.1,"attr",19.30238,"****"
"votare",859695,4776,4484.5,"attr",18.65814,"****"
"infliggere",122519,746,639.1,"attr",17.05243,"****"
"ricorrere",573030,3215,2989.1,"attr",16.7455,"****"
"abbinare",415613,2360,2168,"attr",16.6161,"****"
"protestare",150640,901,785.8,"attr",16.20986,"****"
"indossare",712002,3961,3714.1,"attr",16.15623,"****"
"spiegare",3094259,16642,16140.9,"attr",15.50875,"****"
"ottimizzare",312724,1791,1631.3,"attr",15.2343,"****"
"accrescere",220171,1281,1148.5,"attr",14.81274,"***"
"amministrare",177505,1043,925.9,"attr",14.29241,"***"
"percorrere",846199,4615,4414.1,"attr",9.05991,"**"
"rapire",141168,799,736.4,"attr",5.20735,"*"
"restaurare",195816,1092,1021.5,"attr",4.79009,"*"
"suonare",826636,4444,4312.1,"attr",4.01988,"*"
"spedire",326942,1788,1705.5,"attr",3.95382,"*"
"visualizzare",578285,3121,3016.6,"attr",3.5951,"ns"
"consegnare",835763,4481,4359.7,"attr",3.36531,"ns"
"concorrere",215264,1183,1122.9,"attr",3.17797,"ns"
"illustrare",733335,3935,3825.4,"attr",3.13058,"ns"
"ostacolare",167680,927,874.7,"attr",3.08521,"ns"
"alterare",186199,1026,971.3,"attr",3.04228,"ns"
"vestire",467271,2516,2437.5,"attr",2.51745,"ns"
"arrabbiare",141241,779,736.8,"attr",2.3887,"ns"
"accennare",291850,1575,1522.4,"attr",1.80642,"ns"
"accreditare",184445,1004,962.1,"attr",1.80539,"ns"
"piangere",454593,2435,2371.3,"attr",1.70364,"ns"
"indirizzare",421516,2251,2198.8,"attr",1.23676,"ns"
"bruciare",461946,2458,2409.7,"attr",0.96746,"ns"
"seminare",138134,746,720.6,"attr",0.89254,"ns"
"adoperare",215386,1139,1123.5,"attr",0.21299,"ns"
"isolare",257302,1359,1342.2,"attr",0.21087,"ns"
"sottoscrivere",372088,1960,1941,"attr",0.18728,"ns"
"edificare",186700,985,973.9,"attr",0.12672,"ns"
"dividere",920595,4805,4802.2,"attr",0.00166,"ns"
"dominare",491435,2565,2563.5,"attr",0.00086,"ns"
"attenere",232977,1214,1215.3,"rep",0.00139,"ns"
"sorprendere",397973,2058,2076,"rep",0.15705,"ns"
"esaminare",512253,2641,2672.1,"rep",0.36562,"ns"
"domandare",515083,2653,2686.9,"rep",0.43119,"ns"
"limitare",1461891,7567,7625.8,"rep",0.45714,"ns"
"svuotare",159498,807,832,"rep",0.76305,"ns"
"diversificare",141569,713,738.5,"rep",0.89403,"ns"
"fidare",261399,1328,1363.6,"rep",0.94045,"ns"
"abbassare",415247,2111,2166.1,"rep",1.42076,"ns"
"piazzare",203768,1023,1062.9,"rep",1.5274,"ns"
"tacere",197249,989,1028.9,"rep",1.57809,"ns"
"scuotere",151253,752,789,"rep",1.77159,"ns"
"invadere",242894,1220,1267,"rep",1.77701,"ns"
"penetrare",205343,1027,1071.1,"rep",1.85491,"ns"
"accentuare",143393,711,748,"rep",1.87025,"ns"
"allungare",344461,1732,1796.8,"rep",2.38131,"ns"
"interagire",251487,1247,1311.9,"rep",3.27758,"ns"
"approdare",212808,1048,1110.1,"rep",3.55796,"ns"
"navigare",288692,1430,1505.9,"rep",3.91507,"*"
"ergere",163758,792,854.2,"rep",4.67116,"*"
"incominciare",179450,857,936.1,"rep",6.91298,"**"
"accertare",442246,2182,2306.9,"rep",6.92775,"**"
"sbattere",189441,902,988.2,"rep",7.78765,"**"
"attrarre",297038,1439,1549.5,"rep",8.11204,"**"
"levare",310522,1503,1619.8,"rep",8.67826,"**"
"ritrarre",179050,843,934,"rep",9.21522,"**"
"concretizzare",176468,827,920.5,"rep",9.89215,"**"
"beneficiare",251836,1198,1313.7,"rep",10.55322,"**"
"salire",1203225,6021,6276.5,"rep",10.60513,"**"
"convivere",171572,798,895,"rep",10.96772,"***"
"estrarre",337075,1620,1758.3,"rep",11.23625,"***"
"opporre",470728,2289,2455.5,"rep",11.61609,"***"
"riflettere",795608,3915,4150.2,"rep",13.66402,"***"
"scavare",225356,1049,1175.5,"rep",14.21217,"***"
"intercettare",159474,718,831.9,"rep",16.43662,"****"
"aumentare",2262691,11364,11803.1,"rep",16.64551,"****"
"sparare",404085,1921,2107.9,"rep",17.16857,"****"
"attingere",177030,792,923.5,"rep",19.77038,"*****"
"ridurre",2388641,11963,12460.1,"rep",20.22889,"*****"
"sfuggire",443464,2094,2313.3,"rep",21.58973,"*****"
"unire",2848175,14285,14857.2,"rep",22.47413,"*****"
"utilizzare",6604340,33549,34450.8,"rep",24.02277,"*****"
"consolidare",373211,1733,1946.8,"rep",24.52062,"*****"
"attivare",992630,4826,5177.9,"rep",24.62086,"*****"
"rispettare",1055345,5140,5505.1,"rep",24.90657,"*****"
